;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;nutrition;;;;;;;vitamins & minerals;;;;;;;;;;;;;;;;;;;;;
;;NDB_No;Descrip;Energy_kcal;Protein_g;Saturated_fats_g;Fat_g;Carb_g;Fiber_g;Sugar_g;Calcium_mg;Iron_mg;Magnesium_mg;Phosphorus_mg;Potassium_mg;Sodium_mg;Zinc_mg;Copper_mcg;Manganese_mg;Selenium_mcg;VitC_mg;Thiamin_mg;Riboflavin_mg;Niacin_mg;VitB6_mg;Folate_mcg;VitB12_mcg;VitA_mcg;VitE_mg;VitD2_mcg;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;43398;cheese past process cheddar or american lo na;376;22;20;31;2;0;0;616;0;22;745;162;7;3;0;0;13;0;0;0;0;0;8;1;254;0.27;1;;
;;5200;turkey fryer-roasters meatskn ckd rstd;172;28;2;6;0;0;0;22;2;25;198;250;66;3;0;0;34;0;0;0;5;0;7;0;0;0.35;0;;
;;21238;mcdonald's french fr;323;3;2;15;43;4;0;19;1;37;127;596;189;1;0;0;0;6;0;0;3;0;0;0;0;1.38;0;;
;;18114;cake gingerbread dry mix;437;4;3;14;75;2;47;94;5;21;226;341;657;0;0;1;2;0;0;0;3;0;14;0;0;0.2;0;;
;;28034;girl scouts thank u berry munch cookies;491;5;8;22;70;2;29;0;2;2;42;22;305;0;0;0;0;0;0;0;3;0;0;0;0;0;0;;
;;3015;babyfood meat turkey str;111;12;2;6;1;0;0;41;1;12;117;135;49;2;0;0;12;2;0;0;3;0;8;1;0;0.08;1;;
;;6996;gravy campbell's au jus;8;2;0;0;0;0;0;0;0;0;0;0;390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
;;42136;cream sub pdr lt;431;2;4;16;73;0;73;1;0;0;136;902;229;0;0;0;1;0;0;0;0;0;1;0;1;0.26;0;;
;;14531;alcoholic bev whiskey sour;149;0;0;0;13;0;0;1;0;1;6;5;20;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;
;;11521;taro leaves ckd stmd wosalt;24;3;0;0;4;2;0;86;1;20;27;460;2;0;0;0;1;36;0;0;1;0;48;0;212;0;0;;
;;23202;"beef rib eye steakrost bnls lip-on ln  fat 18"" fat chc rw";253;18;9;20;0;0;0;8;2;19;128;224;50;5;0;0;23;0;0;0;5;0;3;2;5;0.17;0;;
;;20041;rice brown medium-grain ckd;112;2;0;1;24;2;0;10;1;44;77;79;1;1;0;1;0;0;0;0;1;0;4;0;0;0;0;;
;;8513;cereals rte general mills choc lucky charms;381;6;1;4;84;5;37;357;16;57;214;249;539;13;0;0;10;21;1;2;18;2;19;5;505;0.57;4;;
;;11894;vegetables mxd frz ckd bld drnd wsalt;60;3;0;0;13;4;3;25;1;22;51;169;271;0;0;0;0;3;0;0;1;0;19;0;214;0.38;0;;
