;;nutrition;;;;;;;vitamins & minerals;;;;;;;;;;;;;;;;;;;
NDB_No;Descrip;Energy_kcal;Protein_g;Saturated_fats_g;Fat_g;Carb_g;Fiber_g;Sugar_g;Calcium_mg;Iron_mg;Magnesium_mg;Phosphorus_mg;Potassium_mg;Sodium_mg;Zinc_mg;Copper_mcg;Manganese_mg;Selenium_mcg;VitC_mg;Thiamin_mg;Riboflavin_mg;Niacin_mg;VitB6_mg;Folate_mcg;VitB12_mcg;VitA_mcg;VitE_mg;VitD2_mcg
35075;squirrel ground meat (alaska native);111,0000;19,3000;0,0000;3,8000;0,0000;0,0000;0,0000;0,0000;4,7000;0,0000;175,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
3245;babyfood dssrt custard pudd vanilla str;85,0000;1,6000;1,0100;2,0000;16,0000;0,0000;11,5000;55,0000;0,2400;5,0000;45,0000;66,0000;0,0000;0,2800;0,0500;0,0000;2,4000;0,8000;0,0120;0,0800;0,0400;0,0200;6,0000;0,0100;18,0000;0.23;0,5000
6264;sauce white thin prepared-from-recipe w butter;72,0000;3,9500;1,6000;2,5600;8,2900;0,1000;5,2900;131,0000;0,2200;12,0000;110,0000;167,0000;184,0000;0,4700;0,0190;0,0310;4,7000;0,0000;0,0680;0,2080;0,3190;0,0370;5,0000;0,5500;84,0000;0.08;0,0000
23494;"beef comp of rtl cuts ln  fat 0"" fat choic raw";176,0000;21,3400;4,1220;10,0800;0,0600;0,0000;0,0000;13,0000;2,0700;17,0000;194,0000;306,0000;61,0000;4,8200;0,0710;0,0070;23,2000;0,0000;0,0710;0,1920;5,5130;0,5240;4,0000;2,3200;3,0000;0.2;0,1000
16042;beans pinto mature seeds raw;347,0000;21,4200;0,2350;1,2300;62,5500;15,5000;2,1100;113,0000;5,0700;176,0000;411,0000;1393,0000;12,0000;2,2800;0,8930;1,1480;27,9000;6,3000;0,7130;0,2120;1,1740;0,4740;525,0000;0,0000;0,0000;0.21;0,0000
17251;"lamb dom shldr blade lnfat 18""fat choic ckd brsd";339,0000;28,9200;9,8800;23,8800;0,0000;0,0000;0,0000;27,0000;2,3800;24,0000;187,0000;244,0000;75,0000;6,9800;0,1210;0,0270;33,5000;0,0000;0,0600;0,2100;6,0000;0,1100;18,0000;2,8400;0,0000;0,0000;0,0000
17194;veal var meatsby-products heart ckd brsd;186,0000;29,1200;1,8200;6,7500;0,1300;0,0000;0,0000;8,0000;4,3200;18,0000;250,0000;199,0000;58,0000;2,2400;0,4320;0,0610;52,4000;10,0000;0,3500;0,9300;4,8800;0,2100;2,0000;14,4600;0,0000;0,0000;0,0000
16082;noodles chinese cellophane or long rice (mung bns) dehyd;351,0000;0,1600;0,0170;0,0600;86,0900;0,5000;0,0000;25,0000;2,1700;3,0000;32,0000;10,0000;10,0000;0,4100;0,0810;0,1000;7,9000;0,0000;0,1500;0,0000;0,2000;0,0500;2,0000;0,0000;0,0000;0.13;0,0000
D026;brinjal-17;21,7490;1,1800;0,0811;0,3600;2,8900;3,9400;0,8500;20,8300;0,5000;23.13;35,9400;233,0000;3,0900;0,2500;0,1200;0,1400;0,0000;1,9500;0,0800;0,0900;0,5300;0,1000;27,7000;0,0000;0,0000;0.07;0,0013
14028;beverages whiskey sour mix btld;87,0000;0,1000;0,0080;0,1000;21,4000;0,0000;21,4000;2,0000;0,1100;1,0000;6,0000;28,0000;102,0000;0,0700;0,0000;0,0000;0,4000;2,7000;0,0130;0,0100;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
42063;pectin liquid;11,0000;0,0000;0,0000;0,0000;2,1000;2,1000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
43390;turkey lt or dk meat smoked ckd wskn bone removed;208,0000;28,1000;2,8310;9,7000;0,0000;0,0000;0,0000;26,0000;1,7900;25,0000;203,0000;280,0000;996,0000;2,9600;0,0930;0,0000;30,3000;0,0000;0,0600;0,1800;5,0900;0,4100;7,0000;0,3500;0,0000;0.34;0,0000
13951;"beef rib eye sml end (ribs 10-12) ln  fat 0"" sel ckd brld";234,0000;27,9500;4,9340;12,7100;0,0000;0,0000;0,0000;22,0000;1,7000;24,0000;223,0000;355,0000;59,0000;5,0600;0,0760;0,0100;30,1000;0,0000;0,0810;0,1460;7,3010;0,6120;9,0000;1,4500;0,0000;0.44;0,0000
2023;marjoram dried;271,0000;12,6600;0,5290;7,0400;60,5600;40,3000;4,0900;1990,0000;82,7100;346,0000;306,0000;1522,0000;77,0000;3,6000;1,1330;5,4330;4,5000;51,4000;0,2890;0,3160;4,1200;1,1900;274,0000;0,0000;403,0000;1.69;0,0000
14253;alcoholic beverages wine rose;83,0000;0,3600;0,0000;0,0000;3,8000;0,0000;3,8000;10,0000;0,2000;10,0000;18,0000;59,0000;5,0000;0,1100;0,0050;0,1310;0,2000;0,0000;0,0200;0,0150;0,0900;0,0370;1,0000;0,0100;0,0000;0,0000;0,0000
11208;dandelion grns ckd bld drnd wosalt;33,0000;2,0000;0,1460;0,6000;6,4000;2,9000;0,5000;140,0000;1,8000;24,0000;42,0000;232,0000;44,0000;0,2800;0,1150;0,2300;0,3000;18,0000;0,1300;0,1750;0,5140;0,1600;13,0000;0,0000;342,0000;2.44;0,0000
20024;cornmeal yel self-rising bolted w wheat flr added enr;348,0000;8,4100;0,4000;2,8500;73,4300;6,3000;0,0000;299,0000;4,9500;54,0000;651,0000;207,0000;1319,0000;1,3900;0,1390;0,5160;0,0000;0,0000;0,7130;0,4330;5,2020;0,3850;66,0000;0,0000;14,0000;0,0000;0,0000
21303;"fast fd pizza chain 14"" pizza pepperoni topping thick crust";287,0000;11,4900;4,8390;12,5800;31,8400;2,2000;2,9300;148,0000;2,5500;23,0000;195,0000;189,0000;684,0000;1,3500;0,1090;0,3610;20,0000;0,7000;0,3900;0,2000;3,5000;0,0800;46,0000;0,5100;71,0000;0.87;0,0000
23098;"beef chuck und bl steak bnls ln 0"" fat all grds ckd brsd";219,0000;31,3500;3,9810;10,4100;0,0000;0,0000;0,0000;14,0000;3,2100;22,0000;207,0000;308,0000;65,0000;11,3800;0,1010;0,0160;35,7000;0,0000;0,0720;0,2540;3,9760;0,3260;8,0000;3,4800;2,0000;0.09;0,1000
42148;candies mars snackfood us mm's pnut butter choc candies;529,0000;10,1600;18,4850;29,3200;56,8900;4,0000;47,1500;88,0000;1,0600;81,0000;191,0000;330,0000;213,0000;1,4900;0,4520;0,9630;2,8000;0,5000;0,1520;0,0740;4,3290;0,0950;45,0000;0,1900;28,0000;1.26;0,0000
13983;"beef brisket flat half bnless ln  fat 0"" fat sel raw";158,0000;20,5700;3,4240;8,4500;0,0000;0,0000;0,0000;12,0000;2,0200;22,0000;206,0000;336,0000;82,0000;5,0500;0,0630;0,0020;25,4000;0,0000;0,0790;0,1540;5,8750;0,5970;3,0000;1,8800;4,0000;0.11;0,1000
43398;cheese past process cheddar or american lo na;376,0000;22,2000;19,6510;31,1900;1,6000;0,0000;0,4500;616,0000;0,3900;22,0000;745,0000;162,0000;7,0000;2,9900;0,0300;0,0000;12,7000;0,0000;0,0300;0,3500;0,0700;0,0700;8,0000;0,7000;254,0000;0.27;0,6000
